Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,strain,sub_species,tissue,isolation_source,sample_type
SRR15508618,4,WXS,300,90041588455,PRJNA752630,SAMN20802074,Model organism or animal,rottweiler,29072853820,UNIVERSITY OF PADUA,public,not applicable,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,SRX11807831,Illumina NovaSeq 6000,not applicable,cf_Punch47,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T18:10:00Z,1,4CEC_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508619,4,WXS,302,56568561334,PRJNA752630,SAMN20802100,Model organism or animal,mixed,17914665784,UNIVERSITY OF PADUA,public,not applicable,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,SRX11807830,Illumina NovaSeq 6000,not applicable,cf_Punch73,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T12:58:00Z,1,30BEL_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508620,10,WXS,302,60004572072,PRJNA752630,SAMN20802099,Model organism or animal,mixed,18078128857,UNIVERSITY OF PADUA,public,not applicable,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,SRX11807829,Illumina NovaSeq 6000,not applicable,cf_Punch72,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T13:11:00Z,1,29LEO_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508621,10,WXS,302,86994441328,PRJNA752630,SAMN20802098,Model organism or animal,mixed_b,26485919120,UNIVERSITY OF PADUA,public,not applicable,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,SRX11807828,Illumina NovaSeq 6000,not applicable,cf_Punch71,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T15:07:00Z,1,28DRI_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508622,5,WXS,302,113724198286,PRJNA752630,SAMN20802097,Model organism or animal,bullmastiff,35528918907,UNIVERSITY OF PADUA,public,not applicable,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,SRX11807827,Illumina NovaSeq 6000,not applicable,cf_Punch70,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T23:21:00Z,1,27RAF_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508623,11,WXS,302,78034916124,PRJNA752630,SAMN20802096,Model organism or animal,irish setter,24249345723,UNIVERSITY OF PADUA,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,SRX11807826,Illumina NovaSeq 6000,not applicable,cf_Punch69,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T14:16:00Z,1,26BLG_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508624,6,WXS,302,72046367260,PRJNA752630,SAMN20802095,Model organism or animal,rottweiler,21913359031,UNIVERSITY OF PADUA,public,not applicable,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,SRX11807825,Illumina NovaSeq 6000,not applicable,cf_Punch68,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T14:09:00Z,1,25CON_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508625,5,WXS,302,80050702100,PRJNA752630,SAMN20802094,Model organism or animal,english setter,24843745428,UNIVERSITY OF PADUA,public,not applicable,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,SRX11807824,Illumina NovaSeq 6000,not applicable,cf_Punch67,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T13:46:00Z,1,24STI_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508626,4,WXS,302,59335449094,PRJNA752630,SAMN20802093,Model organism or animal,belgian shepherd,17987926021,UNIVERSITY OF PADUA,public,not applicable,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,SRX11807823,Illumina NovaSeq 6000,not applicable,cf_Punch66,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T13:11:00Z,1,23MAT_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508627,9,WXS,302,64309258932,PRJNA752630,SAMN20802092,Model organism or animal,mixed,20229847307,UNIVERSITY OF PADUA,public,not applicable,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,SRX11807822,Illumina NovaSeq 6000,not applicable,cf_Punch65,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T13:26:00Z,1,22ZAG_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508628,6,WXS,302,83789649642,PRJNA752630,SAMN20802091,Model organism or animal,french bulldog,26471953422,UNIVERSITY OF PADUA,public,not applicable,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,SRX11807821,Illumina NovaSeq 6000,not applicable,cf_Punch64,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T17:29:00Z,1,21BRB_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508629,7,WXS,300,79907180487,PRJNA752630,SAMN20802073,Model organism or animal,dachshund,25618173171,UNIVERSITY OF PADUA,public,not applicable,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,SRX11807820,Illumina NovaSeq 6000,not applicable,cf_Punch46,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T14:52:00Z,1,3MAT_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508630,6,WXS,302,77405941026,PRJNA752630,SAMN20802090,Model organism or animal,mixed,24307563904,UNIVERSITY OF PADUA,public,not applicable,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,SRX11807819,Illumina NovaSeq 6000,not applicable,cf_Punch63,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T14:11:00Z,1,20MAR_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508631,11,WXS,302,61034788296,PRJNA752630,SAMN20802089,Model organism or animal,border collie,19111169673,UNIVERSITY OF PADUA,public,not applicable,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX11807818,Illumina NovaSeq 6000,not applicable,cf_Punch62,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T14:01:00Z,1,19BAR_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508632,4,WXS,302,81987012246,PRJNA752630,SAMN20802088,Model organism or animal,rottweiler,25807672018,UNIVERSITY OF PADUA,public,not applicable,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,SRX11807817,Illumina NovaSeq 6000,not applicable,cf_Punch61,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T16:28:00Z,1,18RUS_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508633,10,WXS,302,90614983126,PRJNA752630,SAMN20802087,Model organism or animal,jack russell,28560855605,UNIVERSITY OF PADUA,public,not applicable,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX11807816,Illumina NovaSeq 6000,not applicable,cf_Punch60,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T15:16:00Z,1,17MIN_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508634,8,WXS,302,78366707518,PRJNA752630,SAMN20802086,Model organism or animal,mixed,24219928373,UNIVERSITY OF PADUA,public,not applicable,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,SRX11807815,Illumina NovaSeq 6000,not applicable,cf_Punch59,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T14:45:00Z,1,16BUR_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508635,6,WXS,302,79548576968,PRJNA752630,SAMN20802085,Model organism or animal,beagle,24448340918,UNIVERSITY OF PADUA,public,not applicable,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX11807814,Illumina NovaSeq 6000,not applicable,cf_Punch58,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T14:21:00Z,1,15DES_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508636,6,WXS,302,75498238736,PRJNA752630,SAMN20802084,Model organism or animal,dobermann,23652750047,UNIVERSITY OF PADUA,public,not applicable,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,SRX11807813,Illumina NovaSeq 6000,not applicable,cf_Punch57,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T14:11:00Z,1,14ALB_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508637,10,WXS,302,70374951884,PRJNA752630,SAMN20802083,Model organism or animal,mixed,22070739809,UNIVERSITY OF PADUA,public,not applicable,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,SRX11807812,Illumina NovaSeq 6000,not applicable,cf_Punch56,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T15:40:00Z,1,13BAR_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508638,10,WXS,302,79850346844,PRJNA752630,SAMN20802082,Model organism or animal,german shepherd,24730531515,UNIVERSITY OF PADUA,public,not applicable,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,SRX11807811,Illumina NovaSeq 6000,not applicable,cf_Punch55,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T16:44:00Z,1,12DIG_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508639,13,WXS,302,72458683934,PRJNA752630,SAMN20802081,Model organism or animal,dobermann,22556724749,UNIVERSITY OF PADUA,public,not applicable,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,SRX11807810,Illumina NovaSeq 6000,not applicable,cf_Punch54,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T14:38:00Z,1,11CAR_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508640,7,WXS,301,142891609324,PRJNA752630,SAMN20802072,Model organism or animal,bullmastiff,45786011498,UNIVERSITY OF PADUA,public,not applicable,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,SRX11807809,Illumina NovaSeq 6000,not applicable,cf_Punch45,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T19:43:00Z,1,2WHA_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508641,6,WXS,300,47831476082,PRJNA752630,SAMN20802071,Model organism or animal,german shepherd,15324684420,UNIVERSITY OF PADUA,public,not applicable,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,SRX11807808,Illumina NovaSeq 6000,not applicable,cf_Punch44,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T12:40:00Z,1,1BAC_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464832,11,WXS,300,86656463865,PRJNA752630,SAMN20802080,Model organism or animal,mixed,27548262072,UNIVERSITY OF PADUA,public,not applicable,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,SRX11763968,Illumina NovaSeq 6000,not applicable,cf_DLBCL53,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T05:00:00Z,1,10RIN_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464833,7,WXS,302,57582142492,PRJNA752630,SAMN20802079,Model organism or animal,amstaff,17952509713,UNIVERSITY OF PADUA,public,not applicable,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,SRX11763967,Illumina NovaSeq 6000,not applicable,cf_DLBCL52,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T03:05:00Z,1,9DAN_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464834,5,WXS,302,76643472868,PRJNA752630,SAMN20802078,Model organism or animal,viszla,24119831853,UNIVERSITY OF PADUA,public,not applicable,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,SRX11763966,Illumina NovaSeq 6000,not applicable,cf_DLBCL51,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T03:59:00Z,1,8SCA_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464835,12,WXS,301,86199354428,PRJNA752630,SAMN20802077,Model organism or animal,mixed,28342752118,UNIVERSITY OF PADUA,public,not applicable,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,SRX11763965,Illumina NovaSeq 6000,not applicable,cf_DLBCL50,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T05:51:00Z,1,7POL_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464836,4,WXS,302,76625927574,PRJNA752630,SAMN20802076,Model organism or animal,german shepherd,23895357962,UNIVERSITY OF PADUA,public,not applicable,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,SRX11763964,Illumina NovaSeq 6000,not applicable,cf_DLBCL49,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T03:59:00Z,1,6MEL_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464837,9,WXS,302,83457514874,PRJNA752630,SAMN20802075,Model organism or animal,whwt,26143620155,UNIVERSITY OF PADUA,public,not applicable,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,SRX11763963,Illumina NovaSeq 6000,not applicable,cf_DLBCL48,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T05:21:00Z,1,5MIC_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464838,5,WXS,302,51006953494,PRJNA752630,SAMN20802104,Model organism or animal,bernese mountain,15400608289,UNIVERSITY OF PADUA,public,not applicable,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,SRX11763962,Illumina NovaSeq 6000,not applicable,cf_DLBCL77,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T03:37:00Z,1,34PAG_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464839,7,WXS,302,55069519706,PRJNA752630,SAMN20802103,Model organism or animal,mixed,17220058093,UNIVERSITY OF PADUA,public,not applicable,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,SRX11763961,Illumina NovaSeq 6000,not applicable,cf_DLBCL76,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T03:48:00Z,1,33GIA_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464840,5,WXS,302,38339641410,PRJNA752630,SAMN20802102,Model organism or animal,rottweiler,11518350661,UNIVERSITY OF PADUA,public,not applicable,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,SRX11763960,Illumina NovaSeq 6000,not applicable,cf_DLBCL75,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T03:11:00Z,1,32ROB_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464841,5,WXS,302,43634235346,PRJNA752630,SAMN20802101,Model organism or animal,mixed,13038043502,UNIVERSITY OF PADUA,public,not applicable,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,SRX11763959,Illumina NovaSeq 6000,not applicable,cf_DLBCL74,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T04:05:00Z,1,31GIU_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464842,4,WXS,301,86994929087,PRJNA752630,SAMN20802074,Model organism or animal,rottweiler,27901498903,UNIVERSITY OF PADUA,public,not applicable,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,SRX11763958,Illumina NovaSeq 6000,not applicable,cf_DLBCL47,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T05:36:00Z,1,4CEC_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464843,4,WXS,302,82296445674,PRJNA752630,SAMN20802100,Model organism or animal,mixed,25689617881,UNIVERSITY OF PADUA,public,not applicable,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,SRX11763957,Illumina NovaSeq 6000,not applicable,cf_DLBCL73,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T05:06:00Z,1,30BEL_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464844,10,WXS,302,94831717318,PRJNA752630,SAMN20802099,Model organism or animal,mixed,28906317846,UNIVERSITY OF PADUA,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,SRX11763956,Illumina NovaSeq 6000,not applicable,cf_DLBCL72,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T06:01:00Z,1,29LEO_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464845,10,WXS,302,86592457584,PRJNA752630,SAMN20802098,Model organism or animal,mixed_b,26195826628,UNIVERSITY OF PADUA,public,not applicable,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX11763955,Illumina NovaSeq 6000,not applicable,cf_DLBCL71,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T04:59:00Z,1,28DRI_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15464846,5,WXS,302,84501585650,PRJNA752630,SAMN20802097,Model organism or animal,bullmastiff,26371230482,UNIVERSITY OF PADUA,public,not applicable,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,SRX11763954,Illumina NovaSeq 6000,not applicable,cf_DLBCL70,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-16T06:09:00Z,1,27RAF_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
